iDisableRedirect;1;www.trivago.in;/;null;false
edge_tid;0cbf9ef25b133bfd12206ac800;.trivago.in;/;Sat Jan 01 05:29:59 IST 2039;true
ftv;%7B%22ftv%22%3A%2220210112113351%22%2C%22ltv%22%3A%2220210112113351%22%2C%22ep%22%3A0%2C%22cntv%22%3A1%2C%22cntc%22%3A0%2C%22cntcs%22%3A0%2C%22fep%22%3A9999%2C%22vc%22%3A0%2C%22ctl%22%3A100%2C%22ctf%22%3A100%2C%22item%22%3A0%2C%22path%22%3Anull%2C%22path2%22%3Anull%7D;www.trivago.in;/;Tue Jan 19 08:44:07 IST 2038;false
sLanguageLocale;IN;www.trivago.in;/;Tue Jan 19 08:44:08 IST 2038;false
ak_bmsc;3C9873CB9C0D64D84D4EE3B0F4FAF3381730F41D952100001F89FD5F3828CE08~plqdDIaRAW8c5Ade7GjRRKv/d/84YSlGkfKXHAKNHgwnjaktDCd/cL3uVmmmG0fZYIH0RrRDmNVsTedNXvWS8ciUDeD1DsBioTzJbLZQLRGSRuEe/ylpGGyPYoKpSR8IYGouauPY5CkZjdSVY60Tr70/fdSXSw7eNFIu40cz+1HOUox/eHvW+myA4aCtZq/06kc7D+yCSGDQHAUmmVY8nrgd2eW9D5+qTQ7sAfMRyCqVMPgu2uq6Tp70SAqr+CsY4OoIa/BXNJGSafisgNx2aUNPTOWFuqB6l+0r8smR3T1t6HPz+ijkvYuyzNvdh9Nm5u;.trivago.in;/;Tue Jan 12 19:03:51 IST 2021;false
OptanonConsent;isIABGlobal=false&datestamp=Tue+Jan+12+2021+17%3A03%3A56+GMT%2B0530+(India+Standard+Time)&version=6.5.0&hosts=&consentId=3c749ee0-0bb4-42f4-b429-d50f41467edb&interactionCount=0&landingPath=https%3A%2F%2Fwww.trivago.in%2F&groups=C0001%3A1%2CC0003%3A1%2CC0002%3A1%2CC0004%3A1;.trivago.in;/;Wed Jan 12 17:03:56 IST 2022;true
tid;0cbf9ef25b133bfd12206ac800;.trivago.in;/;Tue Jan 19 08:44:07 IST 2038;false
trv_tid;0cbf9ef25b133bfd12206ac800;.trivago.in;/;Tue Jan 19 08:44:07 IST 2038;true
GROUP;nsi;www.trivago.in;/;null;false
trv_dt_src;{%22dateSource%22:0%2C%22dateRange%22:{%22arrival%22:{%22day%22:17%2C%22month%22:1%2C%22year%22:2021}%2C%22departure%22:{%22day%22:18%2C%22month%22:1%2C%22year%22:2021}}};www.trivago.in;/;null;false
sCurrentPlatformLocale;IN;www.trivago.in;/;Tue Jan 19 08:44:07 IST 2038;false
PHPSESSID;9e018a0a74211d824a20f0a2eb3b4904;www.trivago.in;/;null;true
akaalb_wholesite-prod;~op=~rv=11~m=~os=~id=98e7790b660efdaeef1e4651eb5a69e9;www.trivago.in;/;null;true
